FID,School Name,Governance,Authorizer,Operator,Capacity,Count_2015,Grade_conf,Type,Open_Date,Label,MSTEP_2015,MSTEP_2016,MSTEP2015,MSTEP2016,Location
193,Westside Christian Academy,Independent, , ,0,0,K-12,All Grades,1/1/1900, ,-,-,0,0,"9540 Bramell St
Detroit 48239
(42.3650909998, -83.2625250001)"
194,Friends School in Detroit,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"1100 St Aubin St
Detroit 48207
(42.340853, -83.0299809998)"
195,Winans Academy Middle School,Charter,Saginaw Valley State University,Solid Rock,0,0,K-8,Elementary/Middle,9/2/2008, ,13.8,9.1,13.8,9.1,"7616 Nevada Ave
Detroit 48234
(42.426426, -83.0258609996)"
196,Frontier International Academy,Charter,Bay Mills Community College,Global Education Excellence,0,0,9-12th,High,#N/A, ,22.0,14.3,22,14.3,"13200 Conant St
Detroit 48212
(42.4124749996, -83.0578400003)"
197,Woodward Academy,Charter,Central Michigan University,"Midwest Management Group, Inc. / Renaissance School Services, LLC",0,0,K-8,Elementary/Middle,9/3/1996, ,7.5,6.1,7.5,6.1,"951 E. Lafayette
Detroit 48207
(42.3371960004, -83.0374719999)"
198,Gardner Elementary School,DPSCD, , ,397,230,K-5,Elementary,1/1/1900, ,3.5,8.7,3.5,8.7,"6528 Mansfield St
Detroit 48228
(42.3394900001, -83.2017000002)"
199,Wright Academy of Arts and Science,DPSCD, , ,739,471,K-4,Elementary,7/1/2002, ,34.2,22.5,34.2,22.5,"19299 Berg
Detroit 48219
(42.432296, -83.2686249999)"
200,Garvey Academy,DPSCD, , ,1080,397,K-8,Elementary/Middle,1/1/1900, ,7.5,10.4,7.5,10.4,"2301 Van Dyke
Detroit 48214
(42.3593179998, -83.0017999998)"
201,"Young, Coleman A. Elementary",DPSCD, , ,718,336,K-5,Elementary,1/1/1900, ,2.7,7.0,2.7,7,"15771 Hubbell Ave
Detroit 48227
(42.4063359998, -83.1896290002)"
202,Fleming Early Learning Neighborhood Center,DPSCD, , ,0,0,Pre-K,Early Ed,#N/A, ,-,-,0,0,"18501 Waltham St
Detroit 48205
(42.4301619996, -82.994726)"
203,GEE Edmonson Academy,DPSCD Charter,Detroit City School District,Global Educational Excellence,0,217,K-8,Elementary/Middle,9/6/2011, ,7.2,8.7,7.2,8.7,"1300 W Canfield St
Detroit 48201
(42.3491739997, -83.074527)"
204,Adult Ed - East,DPSCD, , ,0,0,Adult Ed,Alternative,#N/A, ,-,-,0,0,"13840 Lappin St
Detroit 48205
(42.436879, -82.982538)"
205,GEE White Academy,DPSCD Charter,Detroit City School District,Global Educational Excellence,0,433,K-8,Elementary/Middle,9/6/2011, ,8.7,9.4,8.7,9.4,"5161 Charles St
Detroit 48212
(42.41225, -83.0490980001)"
206,Adult Ed - West,DPSCD, , ,0,0,Adult Ed,Alternative,#N/A, ,-,-,0,0,"16164 Asbury Park
Detroit 48235
(42.409168, -83.2083579996)"
207,George Crockett Academy,Charter,Northern Michigan University,Leona Group,0,0,K-8,Elementary/Middle,8/19/1998, ,15.7,10.6,15.7,10.6,"4851 14th Street
Detroit 48208
(42.3490609999, -83.0870700002)"
208,New Paradigm College Prep,Charter,Grand Valley State University,New Paradigm for Education,0,0,K-5,Elementary, , ,-,42.3,0,42.3,"2450 S Beatrice
Detroit 48217
(42.2694641999, -83.1537208003)"
209,Gesu Elementary School,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"17139 Oak Dr
Detroit 48221
(42.4178490001, -83.1383630004)"
210,Pathways Global Leadership Academy,Charter,Grand Valley State University,Pathways Global Institutes,0,0,K-5,Elementary, , ,-,-,0,0,"556 Custer St
Detroit 48204
(42.3743835003, -83.0674062004)"
211,Giving Tree Montessori School,Independent, , ,0,0,K-6,Elementary,1/1/1900, ,-,-,0,0,"4351 Marseilles St
Detroit 48224
(42.4040099996, -82.9182490004)"
212,Blanche Kelso Bruce Academy - Bowman House,Charter,Wayne RESA,Evans Solutions,0,0,5-12th,Middle/High, , ,-,-,0,0,"17200 Rowe
Detroit 48205
(42.4218354996, -83.0028342003)"
213,Golightly Career and Technical Center,DPSCD, , ,0,0,9-12,CTC,#N/A, ,-,-,0,0,"7340 Inselruhe
Detroit 48207
(42.3699079999, -82.9512349999)"
214,Joy Preparatory Academy,Charter,Ferris State University,Leona Group,0,0,PreK-2,Elementary, , ,-,-,0,0,"1129 Oakman Blvd
Detroit 48238
(42.4007359163, -83.1174500162)"
215,Golightly Education Center,DPSCD, , ,1054,360,K-8,Elementary/Middle,1/1/1900, ,20.0,18.3,20,18.3,"5536 Saint Antoine St
Detroit 48202
(42.3646769996, -83.059823)"
216,Gompers Elementary-Middle School,DPSCD, , ,1064,773,K-8,Elementary/Middle,1/1/1900, ,7.8,6.5,7.8,6.5,"14450 Burt Rd
Detroit 48223
(42.3922179999, -83.2462299996)"
217,Detroit Prep Academy,Charter,Grand Valley State University,Self-managed,0,0,K-1,Elementary,9/1/2016, ,-,-,0,0,"2411 Iroquois Ave
Detroit 48214
(42.3621481216, -82.9973811905)"
218,Grandmont Rosedale Park Christian School,Independent, , ,0,0,K-6,Elementary,1/1/1900, ,-,-,0,0,"15350 Southfield Fwy
Detroit 48223
(42.402206, -83.2174780002)"
219,A. Phillip Randolph Technical High School,DPSCD, , ,660,118,9-12,High,#N/A,Randolph,-,-,0,0,"17101 Hubbell
Detroit 48235
(42.4175390002, -83.1914430002)"
220,Greenfield Union Elementary-Middle School,DPSCD, , ,893,301,K-8,Elementary/Middle,1/1/1900, ,4.3,3.4,4.3,3.4,"420 W Seven Mile Rd
Detroit 48203
(42.432589, -83.1077640003)"
221,Academy of the Americas High School,DPSCD, , ,0,29,9-12,High,2015,AoA High,-,-,0,0,"2635 Howard St
Detroit 48216
(42.3208976418, -83.0762624379)"
222,Hamilton Academy,DPSCD Charter,Detroit City School District,"Educational Partnerships, Inc.",0,274,K-8,Elementary/Middle,9/6/2011, ,3.8,3.7,3.8,3.7,"14223 Southampton St
Detroit 48213
(42.3986129998, -82.9629359999)"
223,Beard Early Learning Neighborhood Center,DPSCD, , ,0,0,Pre-K,Early Ed,#N/A,Beard,-,-,0,0,"840 Waterman St
Detroit 48209
(42.3064376283, -83.1092887519)"
224,Harms Elementary School,DPSCD, , ,687,410,K-5,Elementary,1/1/1900, ,16.9,16.7,16.9,16.7,"2400 Central Ave
Detroit 48209
(42.3143160002, -83.1249080004)"
225,Edmonson - DPSCD Foundation for Early Learners PK,DPSCD, , ,0,0,Pre-K,Early Ed, ,Edmonson PreK,-,-,0,0,"1300 West Canfield St
Detroit 48201
(42.3491739997, -83.074527)"
226,Hazel Park Empowerment Eastside Alternative School,"Hazel Park, School District of the City of", , ,0,0,9-12,High,9/4/2012, ,-,-,0,0,"2328 E Seven Mile Rd
Detroit 48234
(42.4326579996, -83.0786300004)"
227,Rutherford - DPSCD Foundation for Early Learners PK,DPSCD, , ,0,0,Pre-K,Early Ed, ,Rutherford PreK,-,-,0,0,"16411 Curtis St
Detroit 48235
(42.4215221889, -83.2097929174)"
228,Hazel Park Empowerment Impact Alternative School,"Hazel Park, School District of the City of", , ,0,0,9-12,High,9/4/2012, ,-,-,0,0,"4321 Oakman
Detroit 48204
(42.3717189997, -83.1510449997)"
229,Loving - DPSCD Foundation for Early Learners PK,DPSCD, , ,0,0,Pre-K,Early Ed, , ,-,-,0,0,"1000 Lynn St
Detroit 48211
(42.3910216726, -83.075386997)"
230,Hazel Park Empowerment Ser Metro Alternative School,"Hazel Park, School District of the City of", , ,0,0,9-12,High,9/4/2012, ,-,-,0,0,"9215 Michigan Ave
Detroit 48210
(42.3279140004, -83.1539840004)"
231,White - DPSCD Foundation for Early Learners PK,DPSCD, , ,0,0,Pre-K,Early Ed, , ,-,-,0,0,"5161 Charles St
Detroit 48212
(42.4125457529, -83.0489400649)"
232,Hazel Park Empowerment West Alternative School,"Hazel Park, School District of the City of", , ,0,0,9-12,High,9/4/2012, ,-,-,0,0,"9600 Mettetal St
Detroit 48227
(42.3658990002, -83.2057610004)"
233,Allen Baptist School,Independent, , ,0,0,P-K,Early Ed, , ,-,-,0,0,"16801 Schoolcraft
Detroit 48227
(42.3859376982, -83.2119262107)"
234,Henderson Academy,DPSCD, , ,1013,687,K-8,Elementary/Middle,7/1/2009, ,2.7,3.5,2.7,3.5,"16101 W Chicago Ave
Detroit 48228
(42.3646419998, -83.2051269999)"
235,Benjamin E. Mays Male Academy,Independent, , ,0,0,K-6,Elementary, , ,-,-,0,0,"3544 Iroquois St
Detroit 48214
(42.3686751557, -83.0010519513)"
236,Henry Ford Academy: School for Creative Studies (PSAD),Charter,Grand Valley State University,"Creative Urban Education, Inc.",0,0,6-12th,Middle/High,9/8/2009, ,13.4,11.9,13.4,11.9,"485 Milwaukee Ave
Detroit 48202
(42.3678409999, -83.0753280001)"
237,Children's Village,Independent, , ,0,0,PK-K,Early Ed, , ,4.4,-,4.4,0,"14901 Meyers Rd
Detroit 48227
(42.3990419847, -83.1695201959)"
238,Henry Ford Academy:School for Creative Studies-Elementary,Charter,Grand Valley State University,Henry Ford Learning Institute,0,0,K-5,Elementary,9/4/2012, ,19.6,12.4,19.6,12.4,"10225 Third St
Detroit 48202
(42.386546, -83.0925130003)"
239,First Step Academy,Independent, , ,0,0,PreK,Early Ed, , ,-,-,0,0,"18113 West Chicago
Detroit 48228
(42.3646039564, -83.2172343334)"
240,"Holmes, A.L. Elementary-Middle School",DPSCD, , ,813,498,K-8,Elementary/Middle,1/1/1900, ,5.9,6.1,5.9,6.1,"8950 Crane St
Detroit 48213
(42.3945110004, -83.0143949996)"
241,Holy Redeemer Elementary School,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"1711 Junction St
Detroit 48209
(42.31634, -83.1011629999)"
242,Muhammad University of Islam,Independent, , ,0,0,K-12,All, , ,-,-,0,0,"14880 Wyoming St
Detroit 48238
(42.3991104026, -83.1592913812)"
243,People's Missionary Baptist,Independent, , ,0,0,PreK,Early Ed, , ,-,-,0,0,"3000 McDougall St
Detroit 48207
(42.3550796462, -83.0271456123)"
244,WAY Michigan,Charter,Central Michigan University,WAY - Widening Advancement for Youth,0,0,6-12,Middle/High,2014, ,20.5,-,20.5,0,"407 E. Fort St
Detroit 48226
(42.3330774761, -83.0422111994)"
